,timestamp,UTC time,label
20589,1565109931087,2019-08-06T16:45:31.087,1
20599,1565109932090,2019-08-06T16:45:32.090,1
20609,1565109933092,2019-08-06T16:45:33.092,1
20619,1565109934094,2019-08-06T16:45:34.094,1
20629,1565109935097,2019-08-06T16:45:35.097,1
20639,1565109936099,2019-08-06T16:45:36.099,1
20649,1565109937101,2019-08-06T16:45:37.101,1
20659,1565109938103,2019-08-06T16:45:38.103,1
20669,1565109939106,2019-08-06T16:45:39.106,1
20679,1565109940108,2019-08-06T16:45:40.108,2
20689,1565109941110,2019-08-06T16:45:41.110,2
20699,1565109942113,2019-08-06T16:45:42.113,2
20709,1565109943115,2019-08-06T16:45:43.115,2
20719,1565109944117,2019-08-06T16:45:44.117,2
20729,1565109945119,2019-08-06T16:45:45.119,2
20739,1565109946122,2019-08-06T16:45:46.122,2
20749,1565109947124,2019-08-06T16:45:47.124,2
20759,1565109948126,2019-08-06T16:45:48.126,2
20769,1565109949129,2019-08-06T16:45:49.129,2
20779,1565109950131,2019-08-06T16:45:50.131,2
20789,1565109951133,2019-08-06T16:45:51.133,2
20799,1565109952136,2019-08-06T16:45:52.136,2
20809,1565109953138,2019-08-06T16:45:53.138,2
20819,1565109954140,2019-08-06T16:45:54.140,2
20829,1565109955142,2019-08-06T16:45:55.142,2
20839,1565109956145,2019-08-06T16:45:56.145,2
20849,1565109957147,2019-08-06T16:45:57.147,2
20859,1565109958149,2019-08-06T16:45:58.149,2
20869,1565109959152,2019-08-06T16:45:59.152,2
20879,1565109960154,2019-08-06T16:46:00.154,2
20889,1565109961156,2019-08-06T16:46:01.156,2
20899,1565109962158,2019-08-06T16:46:02.158,2
20909,1565109963161,2019-08-06T16:46:03.161,2
20919,1565109964163,2019-08-06T16:46:04.163,2
20929,1565109965165,2019-08-06T16:46:05.165,2
20939,1565109966168,2019-08-06T16:46:06.168,2
20949,1565109967170,2019-08-06T16:46:07.170,2
20959,1565109968172,2019-08-06T16:46:08.172,2
20969,1565109969175,2019-08-06T16:46:09.175,2
20979,1565109970177,2019-08-06T16:46:10.177,2
20989,1565109971179,2019-08-06T16:46:11.179,2
20999,1565109972181,2019-08-06T16:46:12.181,2
21009,1565109973184,2019-08-06T16:46:13.184,2
21019,1565109974186,2019-08-06T16:46:14.186,2
21029,1565109975188,2019-08-06T16:46:15.188,2
21039,1565109976191,2019-08-06T16:46:16.191,2
21049,1565109977193,2019-08-06T16:46:17.193,2
21059,1565109978195,2019-08-06T16:46:18.195,2
21069,1565109979197,2019-08-06T16:46:19.197,2
21079,1565109980200,2019-08-06T16:46:20.200,2
21089,1565109981202,2019-08-06T16:46:21.202,2
21099,1565109982204,2019-08-06T16:46:22.204,2
21109,1565109983207,2019-08-06T16:46:23.207,2
21119,1565109984209,2019-08-06T16:46:24.209,2
21129,1565109985211,2019-08-06T16:46:25.211,2
21139,1565109986213,2019-08-06T16:46:26.213,2
21149,1565109987216,2019-08-06T16:46:27.216,2
